Input,Category
"नेप्से १९६० मा ओर्लियो, सबै सूचक घटे",business
"कच्चा तेलको भाउ २०२३ कै उच्च विन्दुमा, नेपालमा पनि मूल्य बढ्ने",business
साधना र सबैको लघुवित्त मर्जमा जाने,business
भारत निर्यात हुने बिजुलीले बढी मूल्य पाउन थाल्यो,business
निजी बैंकका कर्मचारीमा पनि श्रम ऐन लागू हुने,business
साढे १२ खर्ब निक्षेप र सवा २ खर्ब कर्जाको बिमाकान्तिपुर संवाददातासर्वसाधारणको सवा ४ करोड खातामा रहेको करिब १२ खर्ब ३३ अर्ब रुपैयाँ बराबर निक्षेपको बिमा (सुरक्षण) भएको छ । व्यक्तिगत (प्राकृतिक व्यक्ति) खातामा रहेको निक्षेपको प्रतिखाता न्यूनतम ५ लाख रुपैयाँ बिमा गर्नुपर्ने प्रावधानअनुसार गत असारसम्म १२ खर्ब ३२ अर्ब ९५ करोड रुपैयाँ बिमा भएको नेपाल राष्ट्र बैंकको मासिक प्रतिवेदनले देखाएको छ ।  संग्रह  सेयर,business
खेतमै सुक्यो धान : दुई सातासम्म रिपोर्ट नआउँदा बढ्यो अलमलभवानी भट्टकञ्चनपुरको पुनर्वास नगरपालिका–५ उद्रीका भूपाल चौधरीको खेतमा धान रातो–पहेंलो भएको छ । साउन अन्तिम साताको बाढीपछि एकाएक धान रातो र पहेंलो हुन थालेको हो । उनले धानमा युरिया र केही विषादी पनि हाले । तर धानबालीको अवस्था सुधार भएको छैन ।  संग्रह  सेयर,business
"मुख्य राजमार्गमा पहिरोको पीडा : चार दशकसम्म बनेनन् वैकल्पिक मार्गडीआर पन्तसुदूरपश्चिमका सात पहाडी जिल्ला जोड्ने एकमात्र भीमदत्त राजमार्ग अस्तव्यस्त छ । पानी पर्‍यो कि, आवागमनमा अवरोध हुने गरेको छ । कैलालीको बुढीतोला–खानीडाँडा खण्डमा खसेको पहिरो र सडक भासिएका कारण राजमार्गमा आवागमन असहज बनेको हो ।  संग्रह  सेयर",business
ग्लोबलस्टार र स्पेसएक्सबीच समझदारीकान्तिपुर संवाददाताएप्पलको लगानी रहेको अमेरिकी भूउपग्रह सञ्चार कम्पनी ग्लोबलस्टारले आईफोनको आपत्कालीन एसओएस सुविधाका लागि भूउपग्रह प्रक्षेपण गर्न स्पेसएक्ससँग साझेदारी गरेको छ । ग्लोबलस्टारले स्पेसएक्सलाई ६४ मिलियन डलर तिरेर सन् २०२५ भित्र आईफोनका लागि स्याटलाइट प्रक्षेपण खरिद गरेको हो ।  संग्रह  सेयर,business
"काठमाडौंमा सृजनशील उद्यमी मेलाकान्तिपुर संवाददाताहरितालिका तीजको अवसरमा महिला सृजनशील केन्द्रले २०औं डाबर वाटिका तीज फेस्टिभल– सृजनशील उद्यमी मेला आयोजना गरेको छ । वाग्मती प्रदेश उद्योग, वाणिज्य, भूमि तथा प्रशासनमन्त्री रामकृष्ण चित्रकार, माइती नेपालकी अध्यक्ष अनुराधा कोइरालालगायतले शनिबार संयुक्त रूपमा मेला उद्घाटन गरे ।  संग्रह  सेयर",business
म्यानमारविरुद्धको खेलका नेपाली टिमको घोषणाकान्तिपुर संवाददाताम्यानमारविरुद्धका दुई अन्तर्राष्ट्रिय मैत्रीपूर्ण खेलका लागि नेपाली राष्ट्रिय फुटबल टिमको आइतबार घोषणा गरिएको छ । मुख्य प्रशिक्षक भिन्सेन्जो अल्बर्टो एनिसले २३ सदस्यीय टिमको घोषणा गरेको हो ।  संग्रह  सेयर,sports
"लैंगिक विभेदविरुद्ध नेता बनेकी जेनीएएफपीस्पेनी मिडफिल्डर जेनी हर्मोसोले महिला विश्वकपको उपाधि पहिलोपल्ट आफ्नो देशलाई दिलाउन उत्कृष्ट खेल प्रदर्शन गरेकी थिइन् । तर, उनी त्यसपछि अनपेक्षित रूपमा स्पेनी फुटबलमा ‘लैंगिक विभेदविरुद्धकी नेता’ भएकी छन् ।  संग्रह  सेयर",sports
भुटानमाथि नेपालको संघर्षपूर्ण जितकान्तिपुर संवाददातानेपालले आईसीसी वुमेन्स ट्वान्टी–२० विश्वकप छनोटमा आइतबार भुटानलाई हराउन संघर्ष गर्नु पर्‍यो । लगातार तेस्रो जितका लागि नेपालले भुटानलाई तीन विकेटले पराजित गरेको हो ।  संग्रह  सेयर,sports
भारत–पाक खेलमा वर्षा बाधकविनोद पाण्डेभारत र पाकिस्तानबीचको एसिया कप क्रिकेटमा शनिबारको खेल वर्षाका कारण रद्द भएको छ ।  संग्रह  सेयर,sports
एसियाली शारीरिक सुगठनको उद्घाटन भोलिकान्तिपुर संवाददाताएसियाली शारीरिक सुगठन तथा फिटनेस महासंघको आयोजना र नेपाल शारीरिक सुगठन तथा फिटनेस महासंघको व्यवस्थापनमा काठमाडौंमा हुने ५५ औं एसियाली शारीरिक सुगठन तथा फिजिक्स स्पोर्ट्स च्याम्पियनसिपमा १७ राष्ट्रका २ सय ३६ खेलाडीले प्रतिस्पर्धा गर्ने भएका छन् ।  संग्रह  सेयर,sports
सन र हालान्डको ह्याट्रिकएएफपीसन ह्युङ–मिनको ह्याट्रिकको सहयोगमा टोटेनहम हर्टस्परले पछाडि परेको स्थिति उल्टाउँदै बर्नलीलाई टर्फ मुरमा शनिबार ५–२ ले पराजित गरेर प्रिमियर लिगको नयाँ सिजनमा अपराजित यात्रा कायम राखेको छ ।  संग्रह  सेयर,sports
नेपोली घरमै लाजियोसँग स्तब्धएजेन्सीडिफेन्डिङ च्याम्पियन नेपोलीले इटालीको सिरी ए मा शनिबार घरमै लाजियोसँग २–१ को स्तब्धपूर्ण हार बेहोरेको छ । नयाँ सिजन सुरु भएयता नेपोलीको यो पहिलो हार हो । लाजियोका लागि लुइस अल्बर्टो र कामादाले गोल गरे ।  संग्रह  सेयर,sports
बेलिङघमको निर्णायक गोलमा रियल विजयीएजेन्सीजुड वेलिङघमले दोस्रो हाफको इन्ज्युरी समयको पाँचौं मिनेटमा गरेको निर्णायक गोलको मद्दतले रियल म्याड्रिडले शनिबार स्पेनी ला लिगामा गेटाफेलाई २–१ ले हराएको छ । नयाँ सिजन रियलको यो लगातार चौथो जित हो ।  संग्रह  सेयर,sports
"ब्राइटनले न्युकासललाई हराउँदा फर्गुसनको ह्याट्रिकएजेन्सीकिशोर खेलाडी इभान फर्गुसनको ह्याट्रिकको मद्दतले ब्राइटनले इंग्लिस प्रिमियर लिगमा शनिबार न्युकासल युनाइटेडलाई ३–१ ले हराएको छ । आयरल्यान्डका १८ वर्षीय स्ट्राइकरले २७, ६५ र ७० औं मिनेटमा गोल गरे ।  संग्रह  सेयर",sports
हिले ब्याडमिन्टन क्लबमा याम्फु रमेशचन्द्र अधिकारीधनकुटाको हिले ब्याडमिन्टन क्लबको पाँचौ साधारणसभाले भैरब याम्फुको नेतृत्वमा नयाँ समिति चयन गरेको छ ।   संग्रह  सेयर,sports
पथरी एघार ताप्लेजुङ गोल्डकप सेमिफाइनलमाकान्तिपुर संवाददाताफिदिम स्पोर्टिङ क्लब पाँचथरलाई २–० गोलले हराउँदै मोरङको पथरी ११ फुटबल क्लबले शनिबार ताप्लेजुङ गोल्डकप फुटबलको सेमिफाइनल तय गरेको छ । पथरीका दीपक राईले खेलको ३८ औं मिनेटमा गोल गरे ।  संग्रह  सेयर,sports
राष्ट्रिय प्रतियोगितालाई कुङफु रेफ्री सेमिनारकान्तिपुर संवाददातानेपाल उमा कुङफु संघको आयोजनामा छैटौं राष्ट्रिय रेफ्री सेमिनार शनिबार जरंकुमा सकिएको छ । भदौ २२ र २३ गते जरंकुमै हुने छैटौं राष्ट्रिय उमा कुङफु प्रतियोगितालक्षित गरी आयोजना गरिएको एकदिने सेमिनारमा १५ निर्णायकले भाग लिएको संघका अध्यक्ष सिद्धार्थ लामाले जनाएका छन् ।  संग्रह  सेयर,sports
बास्केटबलमा आयोजक केएमसी र इनोभेटिभ विजयीकान्तिपुर संवाददाताआयोजक केएमसी ‘ए’ र इनोभेटिभले तेस्रो केएमसी अन्तरविद्यालय बास्केटबल प्रतियोगिताको सिनियर ब्वाइजमा शनिबार विजयी भएका छन् ।  संग्रह  सेयर,sports
मोन्टी र द्रविड आमनेसामनेविनोद पाण्डेनेपाल र भारत सोमबार श्रीलंकाको क्यान्डीमा एसिया कप क्रिकेटमा आमनेसामने हुँदा मोन्टी देसाई र राहुल द्रविड फेरि एकपल्ट मैदानमा सँगै हुनेछन् । द्रविड प्रशिक्षक रहेको भारत एकरुपको प्रदर्शन गर्ने दाउमा छ भने मोन्टीले नेपाललाई टेस्ट राष्ट्रको अनुभव गराइरहेका छन् ।  संग्रह  सेयर,sports
"अभिनय गर्दा आँखामा आँसु जरुरी छैन,पीडा देखिनुपर्छ : मनिषा कोइरालाकान्तिपुर संवाददाताअभिनेत्री मनिषा कोइरालाले अभिनय गर्दा आँखामा आँसुभन्दा पीडा देखिनु जरुरी भएको बताएकी छन् । कुनै पनि सिनेमाको कथा आफ्नो माटोसँग मिल्यो भने त्यहाँ आफ्नोपन आउने भन्दै उनले दुःखसुख, मूल्यमान्यता, सोच, विचारलगायत पक्षमा सिनेमाले पनि आफ्नो जीवनमा केही योगदान दिन सक्ने बताइन् ।  संग्रह  सेयर",entertainment
